identifiant,Prénom,Nom,Région,Département,Numéro de circonscription,Profession,Groupe politique (complet),Groupe politique (abrégé),réélu.e
718930,Anne-Laurence,Petel,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,14,Chargée des relations extérieures - secteur télécom,La République en Marche,LaREM,Oui
721328,Anne,Brugnera,Auvergne-Rhône-Alpes,Rhône,4,Fonctionnaire de catégorie A,La République en Marche,LaREM,Oui
720230,Lise,Magnier,Grand Est,Marne,4,cadre territorial,Agir ensemble,Agir ens,Oui
267794,Michèle,Tabarot,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,9,Chef d'entreprise,Les Républicains,LR,Oui
722382,Benjamin,Dirx,Bourgogne-Franche-Comté,Saône-et-Loire,1,Industriel-Chef d'entreprise,La République en Marche,LaREM,Oui
342415,Marie-Noëlle,Battistel,Auvergne-Rhône-Alpes,Isère,4,Autre cadre (secteur privé),Socialistes et apparentés,SOC,Oui
722398,Rémy,Rebeyrotte,Bourgogne-Franche-Comté,Saône-et-Loire,3,Professeur d'économie,La République en Marche,LaREM,Oui
720976,Max,Mathiasin,Guadeloupe,Guadeloupe,3,Fonction publique territoriale,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
721760,Maud,Gatel,Ile-de-France,Paris,11,Directrice générale adjointe d'une agence de communication,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
719640,Sophie,Mette,Nouvelle-Aquitaine,Gironde,9,Sans profession déclarée,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
