identifiant;Prénom;Nom;Région;Département;Numéro de circonscription;Profession;Groupe politique (complet);Groupe politique (abrégé)
795362;Lisa;Belluco;Nouvelle-Aquitaine;Vienne;1;Cadre de la fonction publique;Écologiste - NUPES;Ecolo - NUPES
794094;Mickaël;Bouloux;Bretagne;Ille-et-Vilaine;8;Ingénieur et cadre technique d'entreprise;Socialistes et apparentés;SOC
719874;Élodie;Jacquier-Laforge;Auvergne-Rhône-Alpes;Isère;9;Cadre supérieur (secteur privé);Démocrate (MoDem et Indépendants);Dem
605745;Nicolas;Sansu;Centre-Val de Loire;Cher;2;Permanent politique;Gauche démocrate et républicaine - NUPES;GDR - NUPES
795156;Fatiha;Keloua Hachi;Ile-de-France;Seine-Saint-Denis;8;Professeur, profession scientifique;Socialistes et apparentés;SOC
606639;Patrick;Vignal;Occitanie;Hérault;9;Industriel-Chef d'entreprise;Renaissance;RE
335054;Marietta;Karamanli;Pays de la Loire;Sarthe;2;Professeur dans l'enseignement supérieur;Socialistes et apparentés;SOC
793852;Pierre;Meurin;Occitanie;Gard;4;Cadre administratif et commercial d'entreprise;Rassemblement National;RN
796070;Perceval;Gaillard;Réunion;Réunion;7;Profession intermédiaire de la santé et du travail social;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
795430;Stéphane;Delautrette;Nouvelle-Aquitaine;Haute-Vienne;2;Ingénieur dans le domaine de l'environnement;Socialistes et apparentés;SOC
794982;Julie;Delpech;Pays de la Loire;Sarthe;1;Chargée de communication;Renaissance;RE
793094;Nicolas;Ray;Auvergne-Rhône-Alpes;Allier;3;Inspecteur principal des Finances publiques;Les Républicains;LR
721062;Jean-Hugues;Ratenon;Réunion;Réunion;5;Employé (secteur privé);La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
719388;Annaïg;Le Meur;Bretagne;Finistère;1;Autre profession libérale;Renaissance;RE
774109;Clément;Beaune;Ile-de-France;Paris;7;Cadre de la fonction publique;Renaissance;RE
795868;Jean-Victor;Castor;Guyane;Guyane;1;Cadre technique d'entreprise;Gauche démocrate et républicaine - NUPES;GDR - NUPES
588884;Clémentine;Autain;Ile-de-France;Seine-Saint-Denis;11;Journaliste et autre média;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
793992;Henri;Alfandari;Centre-Val de Loire;Indre-et-Loire;3;Ancien artisan, commerçant, chef d'entreprise;Horizons et apparentés;HOR
794786;Emmanuel;Fernandes;Grand Est;Bas-Rhin;2;Profession intermédiaire administrative et commerciale des entreprises;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
795100;Éric;Martineau;Pays de la Loire;Sarthe;3;Agriculteur sur moyenne exploitation;Démocrate (MoDem et Indépendants);Dem
794494;Roger;Vicot;Hauts-de-France;Nord;11;Intervenant en communication;Socialistes et apparentés;SOC
720952;Aurélien;Taché;Ile-de-France;Val-d'Oise;10;Fonctionnaire de catégorie A;Écologiste - NUPES;Ecolo - NUPES
717379;Sylvain;Maillard;Ile-de-France;Paris;1;Industriel-Chef d'entreprise;Renaissance;RE
719472;Jean-René;Cazeneuve;Occitanie;Gers;1;Ingénieur;Renaissance;RE
796010;Frédéric;Maillot;Réunion;Réunion;6;Intervenant social;Gauche démocrate et républicaine - NUPES;GDR - NUPES
793724;Michel;Sala;Occitanie;Gard;5;Ancien cadre du secteur bancaire;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
774962;Karine;Lebon;Réunion;Réunion;2;Professeure des écoles;Gauche démocrate et républicaine - NUPES;GDR - NUPES
719890;Danielle;Brulebois;Bourgogne-Franche-Comté;Jura;1;Retraitée de l'enseignement;Renaissance;RE
720728;Jean-Paul;Mattei;Nouvelle-Aquitaine;Pyrénées-Atlantiques;2;Notaire;Démocrate (MoDem et Indépendants);Dem
793592;Géraldine;Grangier;Bourgogne-Franche-Comté;Doubs;4;Profession intermédiaire administrative de la fonction publique;Rassemblement National;RN
721094;Philippe;Dunoyer;Nouvelle-Calédonie;Nouvelle-Calédonie;1;Fonctionnaire de catégorie A;Renaissance;RE
